Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"41,271.77",-228.78,-0.55%,774.805B,23.042B,23.042B,23.042B,18.773M
ETH-USD,Ethereum USD,"2,583.75",124.69,5.07%,302.114B,19.498B,19.498B,19.498B,116.929M
USDT-USD,Tether USD,1.0002,-0.0001,-0.01%,61.882B,50.052B,50.052B,50.052B,61.871B
BNB-USD,BinanceCoin USD,338.17,9.38,2.85%,56.859B,1.678B,1.678B,1.678B,168.137M
ADA-USD,Cardano USD,1.3532,0.0446,3.41%,43.392B,1.597B,1.597B,1.597B,32.067B
XRP-USD,XRP USD,0.757317,0.009256,1.24%,35.073B,2.44B,2.44B,2.44B,46.312B
DOGE-USD,Dogecoin USD,0.210221,0.003362,1.63%,27.472B,1.527B,1.527B,1.527B,130.68B
USDC-USD,USDCoin USD,0.999816,-0.000003,-0.00%,27.373B,2.047B,2.047B,2.047B,27.378B
HEX-USD,HEX USD,0.122549,0.007019,6.08%,21.251B,25.62M,25.62M,25.62M,173.411B
DOT1-USD,Polkadot USD,19.02,2.47,14.93%,18.646B,2.229B,2.229B,2.229B,980.078M
UNI3-USD,Uniswap USD,22.38,1.07,5.03%,13.144B,411.383M,411.383M,411.383M,587.376M
BCH-USD,BitcoinCash USD,545.33,1.82,0.33%,10.255B,1.77B,1.77B,1.77B,18.805M
LINK-USD,Chainlink USD,22.83,0.92,4.20%,10.116B,1.285B,1.285B,1.285B,443.01M
LTC-USD,Litecoin USD,145.92,2.47,1.73%,9.74B,1.386B,1.386B,1.386B,66.752M
SOL1-USD,Solana USD,35.49,1.36,4.00%,9.676B,501.99M,501.99M,501.99M,272.637M
MATIC-USD,MaticNetwork USD,1.0739,0.0245,2.34%,6.9B,752.401M,752.401M,752.401M,6.425B
XLM-USD,Stellar USD,0.287745,0.008188,2.93%,6.731B,630.577M,630.577M,630.577M,23.394B
ETC-USD,EthereumClassic USD,51.92,1.29,2.55%,6.681B,2.251B,2.251B,2.251B,128.684M
THETA-USD,THETA USD,6.1088,0.0407,0.67%,6.109B,315.125M,315.125M,315.125M,1B
ICP1-USD,InternetComputer USD,42.48,0.70,1.68%,5.815B,236.275M,236.275M,236.275M,136.899M
VET-USD,VeChain USD,0.088621,0.000583,0.66%,5.7B,561.106M,561.106M,561.106M,64.316B
FIL-USD,FilecoinFutures USD,56.42,4.60,8.87%,5.244B,794.258M,794.258M,794.258M,92.955M
TRX-USD,TRON USD,0.065230,0.001030,1.60%,4.674B,864.048M,864.048M,864.048M,71.66B
LUNA1-USD,Terra USD,11.20,0.43,3.96%,4.657B,307.13M,307.13M,307.13M,415.695M
XMR-USD,Monero USD,243.99,6.37,2.68%,4.383B,191.371M,191.371M,191.371M,17.964M
